product_id,name,brand,category,sub_category,price,ingredients,attributes,nutrition_text
1,HEB Oats & Honey Granola,H-E-B,Pantry,Cereal & Granola,4.49,"Whole grain oats,honey,almonds","contains_nuts;vegetarian","190 kcal per 2/3 cup; sugar 7g; fiber 3g"
2,Central Market Organic Granola Low Sugar,Central Market,Pantry,Cereal & Granola,5.99,"Oats,coconut,chia,monk fruit","organic;low_sugar;vegan","170 kcal; sugar 3g; fiber 4g"
3,Hill Country Fare Peanut Butter,Hill Country Fare,Pantry,Spread,2.99,"Peanuts,salt","contains_peanut;vegetarian","180 kcal; sugar 1g; protein 7g"
4,H-E-B Meal Simple Teriyaki Salmon,H-E-B Meal Simple,Meal Solutions,Seafood,9.99,"Salmon,soy sauce,brown sugar,garlic","high_protein;contains_soy;contains_fish","420 kcal; protein 30g"
5,H-E-B Meal Simple Chicken Alfredo,H-E-B Meal Simple,Meal Solutions,Pasta,8.49,"Chicken,cream,parmesan,pasta","contains_dairy;high_protein","560 kcal; protein 32g"
6,Select Ingredients Sparkling Water Lime,H-E-B,Beverages,Sparkling Water,0.99,"Carbonated water,lime essence","zero_sugar","0 kcal"
7,Central Market Cold Brew Coffee,Central Market,Beverages,Coffee,3.49,"Water,coffee","caffeinated","5 kcal"
8,H-E-B Almond Milk Unsweetened,H-E-B,Beverages,Plant Milk,2.79,"Almonds,water,calcium carbonate","vegan;low_sugar;contains_nuts","30 kcal; sugar 0g"
9,Central Market Sourdough Bread,Central Market,Bakery,Bread,4.99,"Wheat flour,water,salt","vegan;contains_gluten","120 kcal per slice"
10,H-E-B Whole Wheat Bread,H-E-B,Bakery,Bread,2.49,"Whole wheat flour,water,salt","vegan;contains_gluten;high_fiber","110 kcal per slice"
11,H-E-B Greek Yogurt Plain,H-E-B,Dairy,Yogurt,0.99,"Milk,cultures","high_protein;contains_dairy","90 kcal; protein 17g"
12,Central Market Extra Virgin Olive Oil,Central Market,Pantry,Oils,7.99,"Olive oil","vegan;med_diet","120 kcal per tbsp"
13,H-E-B Baby Spinach,H-E-B,Produce,Leafy Greens,2.49,"Spinach","vegan;low_calorie","20 kcal per 2 cups"
14,Central Market Salsa Verde,Central Market,Pantry,Sauces,3.29,"Tomatillos,jalapeño,onion,garlic","vegan;gluten_free","10 kcal per 2 tbsp"
15,H-E-B Gluten Free Oats,H-E-B,Pantry,Grains,3.99,"Oats","vegan;gluten_free","150 kcal per 1/2 cup; fiber 4g"
16,H-E-B Nut-Free Crunch Granola,H-E-B,Pantry,Cereal & Granola,4.79,"Oats,raisins,sunflower seeds","nut_free;vegetarian","180 kcal; sugar 6g"
17,Central Market Matcha Green Tea,Central Market,Beverages,Tea,6.49,"Green tea","caffeinated","0 kcal"
18,H-E-B Kids Apple Squeeze Pouches,H-E-B,Snacks,Kids Snacks,3.99,"Apple puree,vitamin C","no_added_sugar;kids","60 kcal per pouch"
19,H-E-B Low Sodium Black Beans,H-E-B,Pantry,Canned Beans,0.89,"Black beans,water,salt","low_sodium;vegan;high_fiber","100 kcal; protein 7g"
20,Central Market Dark Chocolate 72%,Central Market,Snacks,Chocolate,3.99,"Cocoa mass,sugar,cocoa butter","vegetarian","170 kcal; sugar 12g"
